,Costco-Item,Costco-Price,RCS-Brand,RCS-Item,RCS-Price,RCS-Unit Price,RCS-Unit Measure
0,Puma backpack,$23.99,,Puma Style Camo Backpack,$39.25,,
1,Microsoft Surface Pro 7+ bundle,$999.99,,Satechi Type-C Multimedia Adapter (Space Grey),$156.19,,
2,"HP 14 in. touchscreen laptop, i5-1155G7",$699.99,,"HP EliteBook x360 1040 G8 14"" Touchscreen 2 in 1 Notebook - Full HD - 1920 x 1080 - Intel EVO Core i5 (11th Gen) i5-1135G7 Quad-core (4 Core) 2.40 GHz - 16 GB RAM - 256 GB SSD","$2,786.06",,
3,Philips OneBlade face & body shaver,$39.99,,Philips - Cordless Electric Face and Body Trimmer Rechargeable Battery Green,$99.97,,
4,Van Houtte original house blend coffee,$33.99,Keurig,Van Houtte Original House Blend Medium Roast,$10.99,$0.92,/ 1ea
5,Folgers classic roast ground coffee,$8.69,Folgers,Classic Roast Ground Coffee,$7.99,$0.87,/ 100g
6,Nescafé Rich instant coffee,$8.49,Nescafe,Nescafé Sweet and Creamy Original Instant Coffee Mix,$7.49,$2.13,/ 100g
7,No sugar keto bars,$15.99,Vegan Pure,No Sugar Keto Bar,$11.99,$7.49,/ 100g
8,Jack Link's teriyaki beef jerky,$11.49,Jack Links,"Beef Jerky, Teriyaki",$6.99,$8.74,/ 100g
9,Clif Builders protein bars,$16.49,Clif,"Builders Protein Builder's Bar, Chocolate Mint",$2.19,$3.22,/ 100g
10,Crunchmaster multi-grain crackers,$6.49,PC Blue Menu,Butter Flavour Microwave Popcorn,$4.29,$0.89,/ 100g
11,Kellogg’s Vector cereal,$7.99,Kelloggs,Vector Meal Replacement Cereal,$9.49,$1.12,/ 100g
12,Kellogg's Frosted Flakes cereal,$6.99,Kelloggs,Fun Pac Cereal,$5.49,$2.61,/ 100g
13,San Pellegrino Naturali Italian sparkling drinks,$14.99,San Pellegrino,Naturali Pompelmo Sparkling Grapefruit Beverage,$5.99,$0.30,/ 100ml
14,Splenda no calorie sweetener,$19.99,Splenda,Granular,$6.29,$5.72,/ 100g
15,Olive Garden Italian dressing,$7.99,Olive Garden,Italian Dressing,$4.89,$1.03,/ 100ml
16,Beyond Burger plant-based burgers,$14.99,Beyond Meat,Beyond Burger Plant-Based,$7.49,$3.31,/ 100g
17,Activia yogurt,$7.49,Activia,"Probiotic Yogurt, Strawberry/Blueberry/Raspberry/Peach Flavour",$5.99,$0.50,/ 100g
18,Align probiotic supplement,$39.99,Align,"Daily Probiotic Supplement, 50 Gummies",$24.49,$0.49,/ 1ea
19,Kirkland Signature omega-3 fish oil,$19.99,PC Blue Menu,"Eggs, Omega-3",$0.99,$1.13,/ 100g
20,RestoraLAX laxative,$30.99,Restoralax,"Powder Laxative, Effective Relief, No Taste, No Grit",$34.49,$4.51,/ 100g
21,Dove Men + Care Clean Comfort dry antiperspirant spray,$12.99,Dove,Men+Care Dry Spray Antiperspirant CleanComfort ,$4.00,$14.29,/ 100g
22,Dove Men + Care Extra Fresh bars,$12.99,Dove,Men+Care Body And Face Bar for Refreshed Skin Extra Fresh,$6.49,$2.04,/ 100g
23,Hydrasense eye drops advanced,$18.99,Hydrasense,"Advanced Eye Drops, For Dry Eyes, Preservative Free",$21.99,$109.95,/ 100ml
24,Jamieson calcium and magnesium with vitamin D3,$7.99,Jamieson,Calcium Magnesium with Vitamin D3,$11.49,$0.06,/ 1ea
25,Webber Naturals melatonin,$9.99,Webber Naturals,"Melatonin 10mg, Maximum Strength",$10.11,$0.14,/ 1ea
26,Olay Total Effects nourishing moisturizer,$28.99,Olay,"Total Effects Nourishing Cream Cleanser Face Wash, 150 mL",$11.99,$7.99,/ 100ml
27,Aveeno stress relief body wash,$14.99,Aveeno,Stress Relief Body Wash,$9.99,$1.88,/ 100ml
28,G.U.M. Soft-Picks Advanced,$13.99,Gum,Soft-Picks Advanced Dental Picks ,$7.99,$0.13,/ 1ea
29,Gillette Fusion ProGlide Power,$53.99,Gillette,Fusion Proglide Cartridges Microcomb,$44.99,$5.62,/ 1ea
30,Vaseline Cocoa Radiant lotion,$8.99,Vaseline,Men Intensive Care Body Lotion Cocoa Radiant,$6.99,$2.37,/ 100ml
31,Downy Unstopables Fresh in-wash scent booster,$17.49,Downy,"Unstopable In-Wash Scent Booster Beads, Fresh",$14.99,$3.55,/ 100g
32,Gain original liquid fabric softener,$14.49,Gain,"Fabric Softener, Original, 120 Loads, He Compatible",$12.99,$0.43,/ 100ml
33,Swiffer dry or wet refills,$15.99,Swiffer,"Sweeper Dry + Wet Sweeping Kit 1 Sweeper, 7 Dry Cloths, 3 Wet Cloths",$17.99,$17.99,/ 1ea
34,Mr. Clean Magic Eraser cleaning pads,$9.99,Mr. Clean,Magic Eraser,$3.99,$2.00,/ 1ea
35,Cesar Entrées wet dog food,$29.59,,CESAR® ENTRÉES FILET MIGNON FLAVOUR 100g 1Pc,$10.23,,
