,Costco-Brand,Costco-Item,Costco-Price,RCS-Brand,RCS-Item,RCS-Price,RCS-Unit Price,RCS-Unit Measure
0,Samsung,75-in. television,"$1,689.99 ",,"South Shore Adrian 75"" TV Stand in Black Oak",$741.65,,
1,Lorex,8 channel DVR camera system,$399.99 ,,Lorex wireless security system with 4 cameras,$274.99,,
2,KitchenAid,5.7 L (6 qt.)bowl-lift stand mixer with flex edge,$319.99 ,,KitchenAid 5.7 L (6 qt.) Bowl-lift Stand Mixer,$599.99,,
3,La-Z-Boy ,manager chair,$199.99 ,,TygerClaw Mid Back Manager Chair,$279.99,,
4,Ninja ,Professional Plus blender,$79.99 ,,Costway Professional Countertop Blender 8-in-1 Smoothie Soup Blender with Timer,$270.99,,
5,Carters,kids pyjamas,$12.99 ,,School Calendar & Celebrations Sticker Pack | 80 Reusable Stickers | Decorate their My Starry Chart Kid's Calendar their water bottle lunchbox and more!,$7.99,,
6,Details ,accent mat,$16.99 ,,Living Accents MB3212-CLEAR Large Bath Mat,$109.79,,
7,DryLock ,food storage set,$44.99 ,President's Choice,Glass Container Set,$19.99,$19.99,/ 1ea
8,Starbucks,Caffe Verona whole-bean coffee,$17.99 ,PC Blue Menu,Butter Flavour Microwave Popcorn,$4.29,$0.89,/ 100g
9,Royal Harbour,haddock fillets,$16.99 ,Seaquest,Wild Haddock Fillets Skinless Boneless,$8.99,$2.25,/ 100g
10,Maple Leaf Natural Selections,sliced oven roasted chicken breast,$13.99 ,President's Choice,Oven Roasted Chicken Breast (Thin Sliced),$4.19,$41.90,/ 1kg
11,Cappola ,sliced prosciutto,$7.99 ,San Daniele,Sliced Prosciutto Club Pack,$10.00,$5.00,/ 100g
12,Tide Advanced Power,ultra concentrated liquid laundry detergent with OXI,$20.99 ,Tide,Oxi Ultra Laundry Wash,$23.99,$0.53,/ 100ml
13,Downy ,Unstopables Fresh in-wash scent booster,$15.99 ,Downy,"Unstopables In-Wash Scent Booster Beads, FRESH,",$16.99,$2.98,/ 100g
14,Dawn Advanced Power,liquid dish detergent,$8.99 ,Palmolive,"Liquid Dish Soap Essential Clean, Original",$2.99,$0.36,/ 100ml
15,Kirkland Signature,Non-GMO infant formula,$20.99 ,Nestle,Good Start Stage 1 Powder Baby Formula,$27.99,$3.11,/ 100g
16,Glysomed ,hand cream,$11.89 ,Gold Bond,Ultimate Healing Hand Cream,$6.49,$7.64,/ 100ml
17,Huggies Plus Little Snugglers or Little Movers ,diapers,,Pampers,Baby-Dry Diapers Size 5 132 Count,$34.99,$0.27,/ 1ea
18,Kirkland Signature,fragrance-free moist flushable wipes,$14.99 ,Vega,Protein Smoothie Drink Mix Chocolate Flavoured,$23.99,$9.23,/ 100g
19,Kirkland Signature,multivitamin and minerals for men or women,$15.99 ,PC Blue Menu,"Thin & Crispy Vegetables, Spinach And Goat Cheese Pizza",$3.29,$0.91,/ 100g
20,Sponge Towels Premium,paper towels,$17.99 ,No Name,6 Jumbo Paper Towels Rolls,$6.99,,
