,Costco-Brand,Costco-Item,Costco-Price,RCS-Brand,RCS-Item,RCS-Price,RCS-Unit Price,RCS-Unit Measure
0,DR-HO's ,Circulation Promoter with accessories,$139.99 ,,Plantstand PT06-BLCS 6 Pack Clip Strip Black Pot Toes - Pack of 6,$55.61,,
1,Youtheory,turmeric,$27.99 ,President's Choice,Ground Turmeric,$5.79,$13.47,/ 100g
2,Youtheory ,collagen,$19.99 ,Genuine Health,"Marine Clean Collagen, Unflavored Hydrolyzed Collagen Powder, Wild Caught Fish",$30.49,$21.78,/ 100g
3,Cloudveil ,men's active pant,$18.99 ,Joe Fresh,Men's Active Essential Joggers,$30.00,$30.00,/ 1ea
4,Cloudveil ,men's active tee,$9.99 ,Joe Fresh,Men's Printed Active Tee,$19.00,$19.00,/ 1ea
5,Tuff Athletics ,women's short,$11.99 ,Joe Fresh,Women+ Sleep Short,$12.00,$12.00,/ 1ea
6,Kersh ,women's tank top,$14.99 ,Joe Fresh,Women+ Boyfriend Tank,$14.00,$14.00,/ 1ea
7,ThermoFlask ,40-oz stainless steel insulated water bottles,$23.99 ,,Asobu Mighty Flask Bottle 40oz White,$38.99,,
8,Puma ,backpack,$23.99 ,,Deliziosa Backpack Red,$75.99,,
9,Tesoro ,resin planter,$18.99 ,,"Grapevine 14"" Resin Wicker Planter with Tall Metal Stand",$139.99,,
10,,Microsoft Surface Pro 7+ bundle,$999.99 ,,Satechi Type-C Multimedia Adapter (Space Grey),$156.19,,
11,HP ,"14 in. touchscreen laptop, i5-1155G7",$699.99 ,,"HP EliteBook x360 1040 G8 14"" Touchscreen 2 in 1 Notebook - Full HD - 1920 x 1080 - Intel EVO Core i5 (11th Gen) i5-1135G7 Quad-core (4 Core) 2.40 GHz - 16 GB RAM - 256 GB SSD","$2,786.06",,
12,Sealy Posturepedic Hollycourt,queen mattress,$469.99 ,,"Coaster Keegan 8"" Twin Memory Foam Mattress",$774.42,,
13,Philips OneBlade,face & body shaver,$39.99 ,Philips,One Blade Face & Body,$63.99,$63.99,/ 1ea
14,Nordicware ,quarter sheet pans,$21.99 ,,BroilKing D5220 Set of 2 Commercial Quarter Size Sheet Pans,$91.44,,
15,Van Houtte ,original house blend coffee,$33.99 ,Van Houtte,"Original House Blend, Medium Ground",$10.99,$3.23,/ 100g
16,Folgers ,classic roast ground coffee,$8.69 ,Folgers,Classic Roast Ground Coffee,$7.99,$0.87,/ 100g
17,Nescafe Rich,instant coffee,$8.49 ,Starbucks,Pike Place Roast Medium Roast Ground Coffee K-Cup Pods,$11.99,$1.20,/ 1ea
18,,No sugar keto bars,$15.99 ,Vegan Pure,No Sugar Keto Bar,$11.99,$7.49,/ 100g
19,Jack Link's ,teriyaki beef jerky,$11.49 ,Jack Links,"Beef Jerky, Teriyaki",$6.99,$8.74,/ 100g
20,Robert Irvine's ,protein bars,$16.99 ,President's Choice,Peanut Butter & Dark Chocolate Chip Protein Granola Bars,$2.99,$2.02,/ 100g
21,Clif Builders,protein bars,$16.49 ,President's Choice,Peanut Butter & Dark Chocolate Chip Protein Granola Bars,$2.99,$2.02,/ 100g
22,Crunchmaster ,multi-grain crackers,$6.49 ,Ryvita,"Wholegrain Rye Crispbread, Multi-Grain",$3.00,$1.20,/ 100g
23,Kellogg's ,Vector cereal,$7.99 ,Kelloggs,Vector Meal Replacement Cereal,$4.99,$1.25,/ 100g
24,Kellogg's,Frosted Flakes cereal,$6.99 ,President's Choice,Frosted Flakes Cereal,$3.79,$0.58,/ 100g
25,Scotties Premium ,2-ply facial tissues,$17.99 ,Kleenex,"Trusted Care Everyday Facial Tissues, 16 Flat Boxes, 2-Ply, 100 Tissues per Box (1,600 Total Tissues)",$19.99,$10.00,/ 1ea
26,San Pellegrino Naturali Italian ,sparkling drinks,$14.99 ,San Pellegrino,"Sparkling Natural Mineral Water, Dark Morello Cherry & Pomegranate",$8.99,$0.34,/ 100ml
27,Splenda ,no calorie sweetener,$19.99 ,Sugar Twin,"Calorie-Free Sweetener, Packets",$5.49,$2.75,/ 100ea
28,Kirkland Signature ,balsamic vinegar of Modena,$9.99 ,President's Choice,1 Leaf Balsamic Vinegar of Modena,$3.49,$0.70,/ 100ml
29,Olive Garden ,Italian dressing,$7.99 ,Kraft,Zesty Italian Salad Dressing,$3.79,$0.80,/ 100ml
30,Skoulakis ,Greek-style pork souvlaki,$12.99 ,,"Seasoned Pork Kebab, Greek Style",$3.00,$2.00,/ 100g
31,Beyond Burger ,plant-based burgers,$14.99 ,President's Choice,Plant Based Beefless Undeniable Burger,$8.99,$1.99,/ 100g
32,Bothwell ,sliced variety cheese,$11.99 ,,Vinotemp EP-CHSKNIVES01 Epicureanist Vineyard Cheese Knives - Set of 4,$98.34,,
33,Activia ,yogurt,$7.49 ,Activia,"Probiotic Yogurt, Strawberry/Blueberry/Raspberry/Peach Flavour",$5.99,$0.50,/ 100g
34,Traditions Mega Sandwich,ice cream sandwiches,$11.99 ,No Name,Vanilla Ice Cream Sandwiches,$8.79,$0.31,/ 100ml
35,Pizza Delight ,garlic cheese fingers,$9.99 ,Dr Oetker,Giuseppe Garlic Fingers,$4.29,$1.35,/ 100g
36,Align ,probiotic supplement,$39.99 ,Jamieson,Women's Probiotic Complex Vegetarian Capsules,$16.49,$0.37,/ 1ea
37,Kirkland Signature ,omega-3 fish oil,$19.99 ,Webber Naturals,Omega-3 Fish Oils,$12.36,$0.06,/ 1ea
38,RestoraLAX,laxative,$30.99 ,Restoralax,"Powder Laxative, Effective Relief, No Taste, No Grit",$30.99,$6.08,/ 100g
39,Nature's Bounty ,calcium gummies for adults,$8.49 ,Centrum,"Vitamins, Women 50+ Multivitamin & Multimineral Supplement, Mixed Berry Flavours",$20.99,$0.17,/ 1ea
40,L'il Critters Gummy Vites ,multivitamins,$10.99 ,Disney,"Vitamins, Marvel Avengers Multivitamin Gummies",$15.99,$0.09,/ 1ea
41,SmartyPants,kids' multivitamins,$17.99 ,SUKU,Kids Multivitamin,$23.99,$0.40,/ 1ea
42,Nexxus ,shampoo and conditioner,$23.99 ,Herbal Essences,Hello Hydration Conditioner,$3.69,$1.07,/ 100ml
43,Dove Revive ,antiperspirant dry spray,$12.99 ,Dove,"Dry Spray Antiperspirant, Original",$5.99,$5.60,/ 100g
44,Dove ,Men + Care Clean Comfort dry antiperspirant spray,$12.99 ,Dove,Men+Care Dry Spray Antiperspirant CleanComfort ,$4.00,$14.29,/ 100g
45,Dove ,Men + Care Extra Fresh bars,$12.99 ,Dove,Men+Care Body And Face Bar for Refreshed Skin Extra Fresh,$6.49,$2.04,/ 100g
46,Organika ,liquid collagen,$19.99 ,Orange Naturals,Collagen Skin Liquid,$29.99,$6.66,/ 100ml
47,Hydrasense ,eye drops advanced,$18.99 ,Hydrasense,"Advanced Eye Drops, For Dry Eyes, Preservative Free",$21.99,$109.95,/ 100ml
48,Jamieson ,calcium and magnesium with vitamin D3,$7.99 ,Jamieson,Calcium Magnesium with Vitamin D3,$11.49,$0.06,/ 1ea
49,Webber Naturals ,melatonin,$9.99 ,Webber Naturals,"Sleep Support Melatonin, Easy Dissolve",$5.99,$0.10,/ 1ea
50,Olay Total Effects ,nourishing moisturizer,$28.99 ,Jergens,Nourishing Honey Moisturizer,$8.49,$1.37,/ 100ml
51,Aveeno ,stress relief body wash,$14.99 ,Aveeno,Stress Relief Body Wash,$9.99,$1.88,/ 100ml
52,Oral-B Maxclean, toothbrushes,$11.99 ,Colgate,"Extra Clean Toothbrush Value Pack, Soft",$6.49,$6.49,/ 1ea
53,Crest Densify, toothpaste,$15.99 ,Crest,Complete Whitening + Scope Toothpaste,$0.88,$1.76,/ 100ml
54,G.U.M. ,Soft-Picks Advanced,$13.99 ,Gum,Soft-Picks Advanced Dental Picks ,$7.99,$0.13,/ 1ea
55,Gillette Fusion, ProGlide Power,$53.99 ,Gillette,Fusion5 Proglide Power Men'S Razor Blades 4 Refills,$27.99,$7.00,/ 1ea
56,Kirkland Signature,men's and women's protective underwear,$26.99 ,Depends,"Incontinence Protection with Tabs, Maximum Absorbency, L, 16 Count",$18.49,$1.16,/ 1ea
57,Downy Unstopables ,Fresh in-wash scent booster,$17.49 ,Downy,"Unstopables In-Wash Scent Booster Beads, FRESH,",$16.99,$2.98,/ 100g
58,Finish Powerball Quantum Ultimate+ ,clean & shine dishwasher detergent,$17.49 ,President's Choice,Detergent And Rinse Agent Citrus Scent Dishwasher Detergent Tabs,$14.99,$0.17,/ 1ea
59,Gain ,Coldwater liquid laundry detergent,$14.99 ,Purex,Coldwater Laundry Liquid,$7.99,$0.39,/ 100ml
60,Gain ,original liquid fabric softener,$14.49 ,Gain,"Fabric Softener, Original, 120 Loads, He Compatible",$12.99,$0.43,/ 100ml
61,Swiffer ,dry or wet refills,$15.99 ,Swiffer,"Sweeper Dry + Wet Sweeping Kit 1 Sweeper, 7 Dry Cloths, 3 Wet Cloths",$17.99,$17.99,/ 1ea
62,Mr. Clean ,Magic Eraser cleaning pads,$9.99 ,Mr. Clean,Magic Eraser,$3.99,$2.00,/ 1ea
63,Cesar Entrees, wet dog food,$29.59 ,President's Choice,"Dog Food, Extra Meaty Beef Bacon & Cheese Dinner",$2.09,$0.56,/ 100g
64,Zoe Super Bars,salmon flavoured dog treats,$15.99 ,Purina,"One Dog Treats, True Instinct Bites with Salmon",$5.29,$2.67,/ 100g
