,Costco-Item,Costco-Price,RCS-Brand,RCS-Item,RCS-Price,RCS-Unit Price,RCS-Unit Measure,lowercase_Costco,lowercase_RCS,no_sw_Costco,no_sw_RCS,lowercase_item_similarity,no_sw_item_similarity,matches,RCS-Price_flt,rcs_amount,Costco-Price_flt,costco_amount
0,Salton glass kettle,$34.99 ,,Salton - 1.5 L Cordless Glass Kettle,$62.33 ,,,salton glass kettle,salton - 1.5 l cordless glass kettle, salton glass kettle, salton - 1.5 cordless glass kettle,0.633440344,0.680753525,1,62.33,,34.99,
1,Gillette Fusion ProGlide Power,$49.99 ,Gillette,Fusion Proglide Cartridges Microcomb,$44.99 ,$5.62 ,/ 1ea,gillette fusion proglide power,fusion proglide cartridges microcomb, gillette fusion proglide power, fusion proglide cartridges microcomb,0.760435636,0.760435657,1,44.99,,49.99,
2,Tide Pods with Downy laundry detergent,$20.99 ,Tide,"With Downy, Liquid Laundry Detergent Pods, April Fresh, 61 Count",$23.99 ,$1.51 ,/ 100g,tide pods with downy laundry detergent,"with downy, liquid laundry detergent pods, april fresh, 61 count", tide pods downy laundry detergent," downy , liquid laundry detergent pods , april fresh , 61 count",0.696955896,0.542353742,1,23.99,61,20.99,104
3,Tide HE liquid laundry detergent,$18.99 ,Tide,"Tide Liquid Laundry Detergent, Original, 80 loads, HE Compatible",$19.99 ,$0.59 ,/ 100ml,tide he liquid laundry detergent,"tide liquid laundry detergent, original, 80 loads, he compatible", tide liquid laundry detergent," tide liquid laundry detergent , original , 80 loads , compatible",0.67705212,0.57400792,1,19.99,3388,18.99,4870
4,Lindt Lindor assorted chocolates,$17.49 ,Lindt,"Chocolate, Lindor Assorted Truffles",$9.99 ,$4.16 ,/ 100g,lindt lindor assorted chocolates,"chocolate, lindor assorted truffles", lindt lindor assorted chocolates," chocolate , lindor assorted truffles",0.817858336,0.817858311,1,9.99,240,17.49,900
5,Webber Naturals triple strength Omega-3,$23.99 ,Webber Naturals,"Omega-3, Triple Strength",$16.11 ,$0.20 ,/ 1ea,webber naturals triple strength omega-3,"omega-3, triple strength", webber naturals triple strength omega-3," omega-3 , triple strength",0.824985527,0.824985582,1,16.11,81,23.99,200
6,Jamieson probiotic,$23.99 ,Jamieson,Probiotic 5 Billion,$16.49 ,$0.23 ,/ 1ea,jamieson probiotic,probiotic 5 billion, jamieson probiotic, probiotic 5 billion,0.25936925,0.259369265,1,16.49,72,23.99,135
7,Jamieson B100 complex timed-release vitamins,$20.99 ,Jamieson,"B100 Complex 100mg, Timed Release",$22.99 ,$0.19 ,/ 1ea,jamieson b100 complex timed-release vitamins,"b100 complex 100mg, timed release", jamieson b100 complex timed-release vitamins," b100 complex 100mg , timed release",0.627781902,0.627781901,1,22.99,121,20.99,200
8,Lorex 8 channel DVR camera system,$399.99 ,,Lorex wireless security system with 4 cameras,$274.99 ,,,lorex 8 channel dvr camera system,lorex wireless security system with 4 cameras, lorex 8 channel dvr camera system, lorex wireless security system 4 cameras,0.842791976,0.884882247,1,274.99,,399.99,
9,"Starbucks Caffè Verona
whole-bean coffee",$17.99 ,Starbucks,"Caffè Verona Capsules, Ground Coffee For Nespresso Vurtuo",$9.99 ,$9.99 ,/ 100g,"starbucks caffè verona
whole-bean coffee","caffè verona capsules, ground coffee for nespresso vurtuo", starbucks caffè verona whole-bean coffee," caffè verona capsules , ground coffee nespresso vurtuo",0.599296153,0.659730606,1,9.99,100,17.99,1130
