,Costco-Item,Costco-Price,RCS-Brand,RCS-Item,RCS-Price,RCS-Unit Price,RCS-Unit Measure,lowercase_Costco,lowercase_RCS,no_sw_Costco,no_sw_RCS,lowercase_item_similarity,no_sw_item_similarity
0,Salton glass kettle,$34.99 ,,Salton - 1.5 L Cordless Glass Kettle,$62.33,,,salton glass kettle,salton - 1.5 l cordless glass kettle, salton glass kettle, salton - 1.5 cordless glass kettle,0.6334403443869416,0.6807535251039979
1,Gillette Fusion ProGlide Power,$49.99 ,Gillette,Fusion Proglide Cartridges Microcomb,$44.99,$5.62,/ 1ea,gillette fusion proglide power,fusion proglide cartridges microcomb, gillette fusion proglide power, fusion proglide cartridges microcomb,0.7604356356862588,0.7604356570143149
2,Bio-Oil skin care treatment,$19.99 ,,Argan Queen Argan Oil for Hair Nails and Skin 100% Bio Organic Pure Cold Triple Pressed Virgin Oil from Morocco 4oz 120ml in a glass bottle from authentic Argania Spinose Kernels for men and women,$22.00,,,bio-oil skin care treatment,argan queen argan oil for hair nails and skin 100% bio organic pure cold triple pressed virgin oil from morocco 4oz 120ml in a glass bottle from authentic argania spinose kernels for men and women, bio-oil skin treatment, argan queen argan oil hair nails skin 100 % bio organic pure cold triple pressed virgin oil morocco 4oz 120ml glass bottle authentic argania spinose kernels women,0.6928725012573904,0.7193651549559423
3,Tide Pods with Downy laundry detergent,$20.99 ,Tide,"With Downy, Liquid Laundry Detergent Pods, April Fresh, 61 Count",$23.99,$1.51,/ 100g,tide pods with downy laundry detergent,"with downy, liquid laundry detergent pods, april fresh, 61 count", tide pods downy laundry detergent," downy , liquid laundry detergent pods , april fresh , 61 count",0.6969558956953906,0.5423537422998858
4,Tide HE liquid laundry detergent,$18.99 ,Tide,"Tide Liquid Laundry Detergent, Original, 80 loads, HE Compatible",$19.99,$0.59,/ 100ml,tide he liquid laundry detergent,"tide liquid laundry detergent, original, 80 loads, he compatible", tide liquid laundry detergent," tide liquid laundry detergent , original , 80 loads , compatible",0.6770521195454944,0.5740079195128589
5,Lindt Lindor assorted chocolates,$17.49 ,Lindt,"Chocolate, Lindor Assorted Truffles",$9.99,$4.16,/ 100g,lindt lindor assorted chocolates,"chocolate, lindor assorted truffles", lindt lindor assorted chocolates," chocolate , lindor assorted truffles",0.817858335541576,0.8178583107567998
6,Webber Naturals triple strength Omega-3,$23.99 ,Webber Naturals,"Omega-3, Triple Strength",$16.11,$0.20,/ 1ea,webber naturals triple strength omega-3,"omega-3, triple strength", webber naturals triple strength omega-3," omega-3 , triple strength",0.8249855274093815,0.8249855824004274
7,Jamieson probiotic,$23.99 ,Jamieson,Probiotic 5 Billion,$16.49,$0.23,/ 1ea,jamieson probiotic,probiotic 5 billion, jamieson probiotic, probiotic 5 billion,0.25936925019634943,0.25936926467845844
8,Jamieson B100 complex timed-release vitamins,$20.99 ,Jamieson,"B100 Complex 100mg, Timed Release",$22.99,$0.19,/ 1ea,jamieson b100 complex timed-release vitamins,"b100 complex 100mg, timed release", jamieson b100 complex timed-release vitamins," b100 complex 100mg , timed release",0.6277819024583688,0.6277819006944059
9,Samsung 75-in. television,"$1,689.99",,Mount-It MI-346L 17.3 in Articulating Full Motion Arm Wall Mount Bracket with Extension for LCD LED & 4K TV,$200.37,,,samsung 75-in. television,mount-it mi-346l 17.3 in articulating full motion arm wall mount bracket with extension for lcd led & 4k tv, samsung 75-in . television, mount-it mi-346l 17.3 articulating full motion arm wall mount bracket extension lcd led & 4k tv,0.6423094876235034,0.46097825463007924
