,Costco-Item,Costco-Price,RCS-Brand,RCS-Item,RCS-Price,RCS-Unit Price,RCS-Unit Measure,lowercase_Costco,lowercase_RCS,no_sw_Costco,no_sw_RCS,lowercase_item_similarity,no_sw_item_similarity,matches
0,Salton glass kettle,$34.99 ,,Salton - 1.5 L Cordless Glass Kettle,$62.33 ,,,salton glass kettle,salton - 1.5 l cordless glass kettle, salton glass kettle, salton - 1.5 cordless glass kettle,0.633440344,0.680753525,1
1,Gillette Fusion ProGlide Power,$49.99 ,Gillette,Fusion Proglide Cartridges Microcomb,$44.99 ,$5.62 ,/ 1ea,gillette fusion proglide power,fusion proglide cartridges microcomb, gillette fusion proglide power, fusion proglide cartridges microcomb,0.760435636,0.760435657,1
2,Bio-Oil skin care treatment,$19.99 ,,Argan Queen Argan Oil for Hair Nails and Skin 100% Bio Organic Pure Cold Triple Pressed Virgin Oil from Morocco 4oz 120ml in a glass bottle from authentic Argania Spinose Kernels for men and women,$22.00 ,,,bio-oil skin care treatment,argan queen argan oil for hair nails and skin 100% bio organic pure cold triple pressed virgin oil from morocco 4oz 120ml in a glass bottle from authentic argania spinose kernels for men and women, bio-oil skin treatment, argan queen argan oil hair nails skin 100 % bio organic pure cold triple pressed virgin oil morocco 4oz 120ml glass bottle authentic argania spinose kernels women,0.692872501,0.719365155,0
3,Tide Pods with Downy laundry detergent,$20.99 ,Tide,"With Downy, Liquid Laundry Detergent Pods, April Fresh, 61 Count",$23.99 ,$1.51 ,/ 100g,tide pods with downy laundry detergent,"with downy, liquid laundry detergent pods, april fresh, 61 count", tide pods downy laundry detergent," downy , liquid laundry detergent pods , april fresh , 61 count",0.696955896,0.542353742,1
4,Tide HE liquid laundry detergent,$18.99 ,Tide,"Tide Liquid Laundry Detergent, Original, 80 loads, HE Compatible",$19.99 ,$0.59 ,/ 100ml,tide he liquid laundry detergent,"tide liquid laundry detergent, original, 80 loads, he compatible", tide liquid laundry detergent," tide liquid laundry detergent , original , 80 loads , compatible",0.67705212,0.57400792,1
5,Lindt Lindor assorted chocolates,$17.49 ,Lindt,"Chocolate, Lindor Assorted Truffles",$9.99 ,$4.16 ,/ 100g,lindt lindor assorted chocolates,"chocolate, lindor assorted truffles", lindt lindor assorted chocolates," chocolate , lindor assorted truffles",0.817858336,0.817858311,1
6,Webber Naturals triple strength Omega-3,$23.99 ,Webber Naturals,"Omega-3, Triple Strength",$16.11 ,$0.20 ,/ 1ea,webber naturals triple strength omega-3,"omega-3, triple strength", webber naturals triple strength omega-3," omega-3 , triple strength",0.824985527,0.824985582,1
7,Jamieson probiotic,$23.99 ,Jamieson,Probiotic 5 Billion,$16.49 ,$0.23 ,/ 1ea,jamieson probiotic,probiotic 5 billion, jamieson probiotic, probiotic 5 billion,0.25936925,0.259369265,1
8,Jamieson B100 complex timed-release vitamins,$20.99 ,Jamieson,"B100 Complex 100mg, Timed Release",$22.99 ,$0.19 ,/ 1ea,jamieson b100 complex timed-release vitamins,"b100 complex 100mg, timed release", jamieson b100 complex timed-release vitamins," b100 complex 100mg , timed release",0.627781902,0.627781901,1
9,Samsung 75-in. television,"$1,689.99 ",,Mount-It MI-346L 17.3 in Articulating Full Motion Arm Wall Mount Bracket with Extension for LCD LED & 4K TV,$200.37 ,,,samsung 75-in. television,mount-it mi-346l 17.3 in articulating full motion arm wall mount bracket with extension for lcd led & 4k tv, samsung 75-in . television, mount-it mi-346l 17.3 articulating full motion arm wall mount bracket extension lcd led & 4k tv,0.642309488,0.460978255,0
10,Lorex 8 channel DVR camera system,$399.99 ,,Lorex wireless security system with 4 cameras,$274.99 ,,,lorex 8 channel dvr camera system,lorex wireless security system with 4 cameras, lorex 8 channel dvr camera system, lorex wireless security system 4 cameras,0.842791976,0.884882247,1
11,Details accent mat,$16.99 ,,Custom Printed Rugs DM 62 Lambson Moose Intruder Moose,$25.37 ,,,details accent mat,custom printed rugs dm 62 lambson moose intruder moose, details accent, custom printed rugs dm 62 lambson moose intruder moose,0.514020185,0.481948298,0
12,"Starbucks Caffè Verona
whole-bean coffee",$17.99 ,Starbucks,"Caffè Verona Capsules, Ground Coffee For Nespresso Vurtuo",$9.99 ,$9.99 ,/ 100g,"starbucks caffè verona
whole-bean coffee","caffè verona capsules, ground coffee for nespresso vurtuo", starbucks caffè verona whole-bean coffee," caffè verona capsules , ground coffee nespresso vurtuo",0.599296153,0.659730606,1
13,Maple Leaf Natural Selections sliced oven roasted chicken breast,$13.99 ,Maple Leaf,Natural Selections Oven Roasted Chicken Breast,$6.49 ,$37.09 ,/ 1kg,maple leaf natural selections sliced oven roasted chicken breast,natural selections oven roasted chicken breast, maple leaf natural selections sliced oven roasted chicken breast, natural selections oven roasted chicken breast,0.935072927,0.935072984,1
14,"Downy Unstopables Fresh
in-wash scent booster",$15.99 ,Downy,"Downy Unstopables In-Wash Scent Booster Beads, FRESH",$9.99 ,$3.51 ,/ 100g,"downy unstopables fresh
in-wash scent booster","downy unstopables in-wash scent booster beads, fresh", downy unstopables fresh in-wash scent booster," downy unstopables in-wash scent booster beads , fresh",0.959880667,0.959880513,1
15,Glysomed hand cream,$11.89 ,Glysomed,Hand Cream,$6.99 ,$4.66 ,/ 100ml,glysomed hand cream,hand cream, glysomed hand cream, hand cream,0.999999982,0.999999982,1
16,Kirkland Signature multivitamin and minerals for men or women,$15.99 ,PC Blue Menu,"Thin & Crispy Vegetables, Spinach And Goat Cheese Pizza",$3.29 ,$0.91 ,/ 100g,kirkland signature multivitamin and minerals for men or women,"thin & crispy vegetables, spinach and goat cheese pizza", kirkland signature multivitamin minerals women," thin & crispy vegetables , spinach goat cheese pizza",0.42061982,0.35821391,0
